dataset,model,model_short,variant,trial,val_acc,clean_acc,noisy_acc,epochs,params,n_points,num_classes,batch_size
circles_noisy,HierarchicalTensorFieldNetwork,HierTFN,baseline,0,66.66666666666666,0.6666666666666666,0.6666666666666666,50,194339,600,3,32
circles_noisy,HierarchicalTensorFieldNetwork,HierTFN,baseline,1,69.66666666666667,0.7033333333333334,0.7,50,194339,600,3,32
circles_noisy,HierarchicalTensorFieldNetwork,HierTFN,baseline,2,66.66666666666666,0.6666666666666666,0.6666666666666666,50,194339,600,3,32
circles_noisy,HybridOnEquivariantTensorFieldNetwork,HybridTFN,baseline,0,99.66666666666667,0.9966666666666667,0.9966666666666667,20,1177254,600,3,32
circles_noisy,HybridOnEquivariantTensorFieldNetwork,HybridTFN,baseline,1,100.0,1.0,1.0,20,1177254,600,3,32
circles_noisy,HybridOnEquivariantTensorFieldNetwork,HybridTFN,baseline,2,67.0,0.67,0.67,20,1177254,600,3,32
circles_noisy,OnEquivariantTensorFieldNetwork,OnEquivTFN,baseline,0,100.0,1.0,1.0,20,1068387,600,3,32
circles_noisy,OnEquivariantTensorFieldNetwork,OnEquivTFN,baseline,1,65.66666666666666,0.6566666666666666,0.6566666666666666,50,1068387,600,3,32
circles_noisy,OnEquivariantTensorFieldNetwork,OnEquivTFN,baseline,2,70.33333333333334,0.7033333333333334,0.7033333333333334,50,1068387,600,3,32
circles_noisy,PersNet,PersNet,baseline,0,80.66666666666666,0.8066666666666666,0.8066666666666666,20,141763,600,3,32
circles_noisy,PersNet,PersNet,baseline,1,81.33333333333333,0.8133333333333334,0.8133333333333334,20,141763,600,3,32
circles_noisy,PersNet,PersNet,baseline,2,80.66666666666666,0.8066666666666666,0.8066666666666666,20,141763,600,3,32
circles_noisy,PersNet,PersNet,noise-aug,0,66.33333333333333,0.6633333333333333,0.6633333333333333,20,141763,600,3,32
circles_noisy,PersNet,PersNet,noise-aug,1,70.66666666666667,0.7066666666666667,0.7066666666666667,20,141763,600,3,32
circles_noisy,PersNet,PersNet,noise-aug,2,66.0,0.66,0.66,20,141763,600,3,32
circles_noisy,PointNetTutorial,PointNetTutorial,baseline,0,80.33333333333333,0.8033333333333333,0.8033333333333333,50,141763,600,3,32
circles_noisy,PointNetTutorial,PointNetTutorial,baseline,1,82.33333333333334,0.8233333333333334,0.8233333333333334,100,141763,600,3,32
circles_noisy,PointNetTutorial,PointNetTutorial,baseline,2,81.0,0.81,0.81,100,141763,600,3,32
circles_noisy,RelaxedOnEquivariantTensorFieldNetwork,RelaxTFN,baseline,0,66.33333333333333,0.6633333333333333,0.6633333333333333,50,1068389,600,3,32
circles_noisy,RelaxedOnEquivariantTensorFieldNetwork,RelaxTFN,baseline,1,99.66666666666667,0.9966666666666667,0.9966666666666667,20,1068389,600,3,32
circles_noisy,RelaxedOnEquivariantTensorFieldNetwork,RelaxTFN,baseline,2,100.0,1.0,1.0,20,1068389,600,3,32
circles_noisy,RipsPointNet,RipsPointNet,baseline,0,74.33333333333333,0.7433333333333333,0.7433333333333333,20,281379,600,3,32
circles_noisy,RipsPointNet,RipsPointNet,baseline,1,74.0,0.74,0.74,20,281379,600,3,32
circles_noisy,RipsPointNet,RipsPointNet,baseline,2,71.0,0.71,0.71,20,281379,600,3,32
circles_noisy,ScalarDistanceDeepSet,ScalarDeepSet,baseline,0,33.33333333333333,0.3333333333333333,0.3333333333333333,100,75651,600,3,32
circles_noisy,ScalarDistanceDeepSet,ScalarDeepSet,baseline,1,66.66666666666666,0.6666666666666666,0.6666666666666666,100,75651,600,3,32
circles_noisy,ScalarDistanceDeepSet,ScalarDeepSet,baseline,2,33.33333333333333,0.3333333333333333,0.3333333333333333,100,75651,600,3,32
circles_noisy,ScalarInputMLP,ScalarMLP,baseline,0,66.66666666666666,0.6666666666666666,0.6666666666666666,100,664067,600,3,32
circles_noisy,ScalarInputMLP,ScalarMLP,baseline,1,33.33333333333333,0.3333333333333333,0.3333333333333333,100,664067,600,3,32
circles_noisy,ScalarInputMLP,ScalarMLP,baseline,2,68.33333333333333,0.6833333333333333,0.6833333333333333,100,664067,600,3,32
circles_noisy,StochasticTensorFieldNetwork,StochTFN,baseline,0,100.0,1.0,1.0,50,41301,600,3,32
circles_noisy,StochasticTensorFieldNetwork,StochTFN,baseline,1,100.0,1.0,1.0,50,41301,600,3,32
circles_noisy,StochasticTensorFieldNetwork,StochTFN,baseline,2,100.0,1.0,1.0,50,41301,600,3,32
circles_noisy,TensorFieldNetwork,TFN,baseline,0,99.66666666666667,0.9966666666666667,0.9966666666666667,100,89091,600,3,32
circles_noisy,TensorFieldNetwork,TFN,baseline,1,100.0,1.0,1.0,100,89091,600,3,32
circles_noisy,TensorFieldNetwork,TFN,baseline,2,100.0,1.0,1.0,100,89091,600,3,32
shapes3d_8way,AttentionTensorFieldNetwork,AttnTFN,baseline,0,100.0,1.0,0.40202702702702703,50,904439,600,8,32
shapes3d_8way,AttentionTensorFieldNetwork,AttnTFN,baseline,1,100.0,1.0,0.875,50,904439,600,8,32
shapes3d_8way,AttentionTensorFieldNetwork,AttnTFN,baseline,2,100.0,1.0,0.40540540540540543,50,904439,600,8,32
shapes3d_8way,GTTensorFieldNetworkV2,GTTFNv2,attn-pool,0,100.0,1.0,0.6452702702702703,20,90569,600,8,32
shapes3d_8way,GTTensorFieldNetworkV2,GTTFNv2,attn-pool,1,100.0,1.0,0.34797297297297297,20,90569,600,8,32
shapes3d_8way,GTTensorFieldNetworkV2,GTTFNv2,attn-pool,2,100.0,1.0,0.6925675675675675,20,90569,600,8,32
shapes3d_8way,GTTensorFieldNetworkV2,GTTFNv2,baseline,0,100.0,1.0,0.875,100,89416,600,8,32
shapes3d_8way,GTTensorFieldNetworkV2,GTTFNv2,baseline,1,100.0,1.0,0.8581081081081081,100,89416,600,8,32
shapes3d_8way,GTTensorFieldNetworkV2,GTTFNv2,baseline,2,100.0,1.0,0.8851351351351351,100,89416,600,8,32
shapes3d_8way,GTTensorFieldNetworkV2,GTTFNv2,dtm-filter,0,100.0,1.0,0.9791666666666666,20,89416,100,8,16
shapes3d_8way,GTTensorFieldNetworkV2,GTTFNv2,pd-fusion,0,100.0,0.9324324324324325,0.7871621621621622,20,89416,600,8,32
shapes3d_8way,GTTensorFieldNetworkV2,GTTFNv2,pd-fusion,1,100.0,1.0,0.5709459459459459,20,89416,600,8,32
shapes3d_8way,GTTensorFieldNetworkV2,GTTFNv2,pd-fusion,2,100.0,1.0,0.5777027027027027,20,89416,600,8,32
shapes3d_8way,HierarchicalTensorFieldNetwork,HierTFN,attn-pool,0,72.2972972972973,0.722972972972973,0.125,20,194664,600,8,32
shapes3d_8way,HierarchicalTensorFieldNetwork,HierTFN,attn-pool,1,100.0,1.0,0.5641891891891891,20,194664,600,8,32
shapes3d_8way,HierarchicalTensorFieldNetwork,HierTFN,attn-pool,2,99.66216216216216,1.0,0.40878378378378377,20,194664,600,8,32
shapes3d_8way,HierarchicalTensorFieldNetwork,HierTFN,baseline,0,100.0,1.0,0.4222972972972973,50,194664,600,8,32
shapes3d_8way,HierarchicalTensorFieldNetwork,HierTFN,baseline,1,87.5,0.8648648648648649,0.22635135135135134,50,194664,600,8,32
shapes3d_8way,HierarchicalTensorFieldNetwork,HierTFN,baseline,2,100.0,1.0,0.5033783783783784,50,194664,600,8,32
shapes3d_8way,HybridOnEquivariantTensorFieldNetwork,HybridTFN,baseline,0,100.0,1.0,0.40878378378378377,20,1863920,600,8,32
shapes3d_8way,HybridOnEquivariantTensorFieldNetwork,HybridTFN,baseline,1,71.28378378378379,0.7128378378378378,0.39864864864864863,50,1863920,600,8,32
shapes3d_8way,HybridOnEquivariantTensorFieldNetwork,HybridTFN,baseline,2,12.5,0.125,0.125,50,1863920,600,8,32
